State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Literacy rate,Male_Literate %,Female_Literate %,Sex Ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,5512,45202,597466,220248,54.112282803506005,62.525691864103095,45.71141741066547,1001.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,8606,48299,902997,341431,56.62524368143473,64.83299790021289,48.222773079949796,977.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,13763,67087,907970,395900,63.915598802509976,71.03584147767394,56.77367961379364,997.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,22411,93784,1199479,406362,63.80264152466215,66.81484289143273,60.80782849855761,1006.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,19383,80434,1069877,513113,60.56780404651324,66.98266476707228,54.170691523528866,1003.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,149034,274653,0,1066289,73.34309160066269,76.4246064674337,70.11136003258608,954.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,8831,46584,877236,288044,58.43940143035361,66.84591663122076,50.097944097212874,1008.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,8628,42171,669262,201363,58.27738196949277,64.82011347330099,51.80626600738633,1011.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,30438,101450,909292,567042,66.62503503122815,70.5202712387673,62.69975906912951,992.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,10081,56478,783853,306982,52.47762222080231,61.119679172549205,43.7283416640354,988.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,6153,60812,848963,161052,47.881386459703705,56.49599636361153,39.061399890744326,977.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,8635,47170,593653,195479,53.972356070376435,62.59929220041628,45.27246338042904,992.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,7715,53777,833504,197433,57.35536109887357,65.96064717474763,48.59710925792797,983.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,5261,35036,565165,155133,54.47383428675576,63.184718876160304,46.098159905404344,1040.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,6151,43611,873486,214089,56.054868242280676,64.5969941053113,47.3498886303073,981.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,3988,32280,752752,149684,55.32067829917643,63.93379333372089,46.831808405613145,1015.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,4453,24128,592458,157056,52.82157106455435,60.91407750648528,44.8762761021372,1019.0
